record_type,party,region,constituency,seats,votes,vote_pct,majority,turnout_pct,turnout_total,electorate
constituency_result,Liberal Democrat,London,Richmond Park,,,,2951,79.0,,
constituency_result,Labour,London,Romford,,,,649,72.3,,
constituency_result,Conservative,London,Ruislip-Northwood,,,,7794,71.1,,
constituency_result,Liberal Democrat,London,Southwark North and Bermondsey,,,,3387,61.8,,
constituency_result,Labour,London,Streatham,,,,18423,65.6,,
constituency_result,Liberal Democrat,London,Sutton and Cheam,,,,2097,76.3,,
constituency_result,Labour,London,Tooting,,,,15011,68.4,,
constituency_result,Labour,London,Tottenham,,,,20200,58.9,,
constituency_result,Liberal Democrat,London,Twickenham,,,,4281,78.6,,
constituency_result,Conservative,London,Upminster,,,,1016,73.9,,
constituency_result,Conservative,London,Uxbridge,,,,724,72.5,,
constituency_result,Labour,London,Vauxhall,,,,18660,62.1,,
constituency_result,Labour,London,Walthamstow,,,,17149,62.3,,
constituency_result,Labour,London,West Ham,,,,19494,54.6,,
constituency_result,Labour,London,Wimbledon,,,,2990,74.7,,
constituency_result,Labour,London,Battersea North,,,,4900,68.0,,
constituency_result,Labour,London,Bow and Poplar,,,,15500,58.5,,
constituency_result,Conservative,South East,Aldershot,,,,6621,72.0,,
constituency_result,Conservative,South East,Arundel and South Downs,,,,14035,74.0,,
constituency_result,Conservative,South East,Aylesbury,,,,7005,74.8,,
constituency_result,Conservative,South East,Banbury,,,,4737,74.7,,
constituency_result,Conservative,South East,Basingstoke,,,,3945,74.1,,
constituency_result,Conservative,South East,Beaconsfield,,,,13987,73.7,,
constituency_result,Conservative,South East,Bognor Regis and Littlehampton,,,,7321,70.4,,
constituency_result,Conservative,South East,Bracknell,,,,4169,72.4,,
constituency_result,Labour,South East,Brighton Kemptown,,,,3534,71.7,,
constituency_result,Labour,South East,Brighton Pavilion,,,,13235,67.7,,
constituency_result,Labour,South East,Canterbury,,,,3964,73.8,,
constituency_result,Labour,South East,Chatham and Aylesford,,,,2790,71.0,,
constituency_result,Conservative,South East,Chesham and Amersham,,,,13859,78.2,,
constituency_result,Conservative,South East,Chichester,,,,9734,73.6,,
constituency_result,Labour,South East,Crawley,,,,11707,72.3,,
constituency_result,Labour,South East,Dartford,,,,4328,74.6,,
constituency_result,Labour,South East,Dover,,,,11739,76.4,,
constituency_result,Conservative,South East,East Hampshire,,,,11590,74.3,,
constituency_result,Conservative,South East,East Surrey,,,,13127,76.9,,
constituency_result,Conservative,South East,Eastbourne,,,,1994,72.0,,
constituency_result,Liberal Democrat,South East,Eastleigh,,,,754,78.0,,
constituency_result,Conservative,South East,Epsom and Ewell,,,,11872,77.7,,
constituency_result,Conservative,South East,Esher and Walton,,,,14528,77.4,,
constituency_result,Conservative,South East,Faversham and Mid Kent,,,,4991,72.0,,
constituency_result,Conservative,South East,Fareham,,,,9800,73.5,,
constituency_result,Conservative,South East,Folkestone and Hythe,,,,6332,70.4,,
constituency_result,Conservative,South East,Gosport,,,,6000,71.2,,
constituency_result,Liberal Democrat,South East,Guildford,,,,4791,80.0,,
constituency_result,Labour,South East,Hastings and Rye,,,,1747,72.4,,
constituency_result,Conservative,South East,Havant,,,,4490,71.3,,
constituency_result,Conservative,South East,Horsham,,,,11200,75.0,,
constituency_result,Labour,South East,Hove,,,,3959,73.9,,
constituency_result,Liberal Democrat,South East,Isle of Wight,,,,6406,70.2,,
constituency_result,Liberal Democrat,South East,Lewes,,,,1300,77.8,,
constituency_result,Conservative,South East,Maidstone and The Weald,,,,9603,75.0,,
constituency_result,Labour,South East,Medway,,,,3500,71.0,,
constituency_result,Conservative,South East,Mid Sussex,,,,12661,76.7,,
constituency_result,Conservative,South East,Mole Valley,,,,10221,77.7,,
constituency_result,Conservative,South East,New Forest East,,,,8747,72.5,,
constituency_result,Conservative,South East,New Forest West,,,,11332,72.7,,
constituency_result,Conservative,South East,North Thanet,,,,7626,68.6,,
constituency_result,Labour,South East,Oxford East,,,,16665,67.1,,
constituency_result,Liberal Democrat,South East,Oxford West and Abingdon,,,,6285,78.3,,
constituency_result,Conservative,South East,Portsmouth North,,,,4323,69.4,,
constituency_result,Liberal Democrat,South East,Portsmouth South,,,,4327,63.2,,
constituency_result,Labour,South East,Reading East,,,,3795,73.3,,
constituency_result,Labour,South East,Reading West,,,,2997,73.6,,
constituency_result,Conservative,South East,Reigate,,,,7741,77.0,,
constituency_result,Labour,South East,Rochester and Strood,,,,6404,73.5,,
constituency_result,Conservative,South East,Romsey,,,,8585,77.1,,
constituency_result,Conservative,South East,Runnymede and Weybridge,,,,9875,76.8,,
constituency_result,Conservative,South East,Saffron Walden,,,,10432,76.9,,
constituency_result,Conservative,South East,Sevenoaks,,,,10461,76.3,,
constituency_result,Conservative,South East,Shepway,,,,5200,70.8,,
constituency_result,Labour,South East,Sittingbourne and Sheppey,,,,1929,70.5,,
constituency_result,Labour,South East,Slough,,,,13743,63.2,,
constituency_result,Conservative,South East,South East Cambridgeshire,,,,8218,77.6,,
constituency_result,Labour,South East,South Thanet,,,,2878,70.2,,
constituency_result,Labour,South East,Southampton Itchen,,,,9674,68.9,,
constituency_result,Labour,South East,Southampton Test,,,,13928,65.6,,
constituency_result,Conservative,South East,Spelthorne,,,,3473,75.9,,
constituency_result,Conservative,South East,Surrey Heath,,,,16287,76.1,,
constituency_result,Labour,South East,Swindon North,,,,7688,70.4,,
constituency_result,Labour,South East,Swindon South,,,,7170,72.7,,
constituency_result,Conservative,South East,Test Valley,,,,8100,75.5,,
constituency_result,Conservative,South East,Tonbridge and Malling,,,,8878,75.0,,
constituency_result,Conservative,South East,Tunbridge Wells,,,,7506,74.6,,
constituency_result,Conservative,South East,Wantage,,,,6903,75.8,,
constituency_result,Conservative,South East,Waverley,,,,7500,77.0,,
constituency_result,Conservative,South East,Wealden,,,,14204,73.8,,
constituency_result,Liberal Democrat,South East,Winchester,,,,2,80.1,,
constituency_result,Conservative,South East,Windsor,,,,16334,71.8,,
constituency_result,Conservative,South East,Woking,,,,4920,76.2,,
constituency_result,Conservative,South East,Wokingham,,,,10019,76.8,,
constituency_result,Conservative,South East,Worthing East and Shoreham,,,,7832,74.2,,
constituency_result,Conservative,South East,Worthing West,,,,7713,73.8,,
constituency_result,Conservative,South East,Witney,,,,7000,76.2,,
constituency_result,Conservative,South East,Wycombe,,,,2370,74.3,,
constituency_result,Conservative,South East,Tonbridge,,,,6500,74.8,,
constituency_result,Labour,South East,Thanet South,,,,2878,70.3,,
constituency_result,Liberal Democrat,South West,Bath,,,,9319,76.9,,
constituency_result,Conservative,South West,Bournemouth East,,,,8048,68.0,,
constituency_result,Conservative,South West,Bournemouth West,,,,5592,67.3,,
constituency_result,Conservative,South West,Bridgwater,,,,2971,73.4,,
constituency_result,Labour,South West,Bristol East,,,,15553,68.9,,
constituency_result,Labour,South West,Bristol North West,,,,11382,75.3,,
constituency_result,Labour,South West,Bristol South,,,,19328,64.7,,
constituency_result,Liberal Democrat,South West,Bristol West,,,,1493,73.7,,
constituency_result,Liberal Democrat,South West,Cheltenham,,,,6645,75.6,,
constituency_result,Conservative,South West,Chippenham,,,,2362,77.0,,
constituency_result,Conservative,South West,Christchurch,,,,16632,73.5,,
constituency_result,Liberal Democrat,South West,Cornwall North,,,,9230,74.4,,
constituency_result,Liberal Democrat,South West,Cornwall South East,,,,6480,74.8,,
constituency_result,Liberal Democrat,South West,Devon North,,,,6181,74.9,,
constituency_result,Liberal Democrat,South West,Devon West and Torridge,,,,1957,74.7,,
constituency_result,Liberal Democrat,South West,Dorset Mid and Poole North,,,,681,75.9,,
constituency_result,Conservative,South West,Dorset North,,,,9312,76.2,,
constituency_result,Conservative,South West,Dorset South,,,,77,74.7,,
constituency_result,Conservative,South West,Dorset West,,,,1840,75.8,,
constituency_result,Conservative,South West,East Devon,,,,5500,75.5,,
constituency_result,Labour,South West,Exeter,,,,11151,73.3,,
constituency_result,Labour,South West,Falmouth and Camborne,,,,2688,73.4,,
constituency_result,Labour,South West,Forest of Dean,,,,8360,73.4,,
constituency_result,Labour,South West,Gloucester,,,,8259,74.6,,
constituency_result,Liberal Democrat,South West,Hereford,,,,6648,74.0,,
constituency_result,Conservative,South West,Leominster,,,,6835,76.3,,
constituency_result,Conservative,South West,Ludlow,,,,5909,78.1,,
constituency_result,Conservative,South West,Mid Dorset,,,,3500,74.5,,
constituency_result,Conservative,South West,Newbury,,,,8517,76.7,,
constituency_result,Liberal Democrat,South West,North Devon,,,,6181,74.0,,
constituency_result,Conservative,South West,North Wiltshire,,,,11543,77.6,,
constituency_result,Labour,South West,Plymouth Devonport,,,,19189,67.3,,
constituency_result,Labour,South West,Plymouth Sutton,,,,9440,69.8,,
constituency_result,Conservative,South West,Poole,,,,5989,72.3,,
constituency_result,Conservative,South West,Salisbury,,,,10329,75.8,,
constituency_result,Liberal Democrat,South West,Somerton and Frome,,,,130,76.9,,
constituency_result,Conservative,South West,South Gloucestershire,,,,6000,76.0,,
constituency_result,Conservative,South West,South Hams,,,,8279,76.6,,
constituency_result,Conservative,South West,South West Devon,,,,7200,74.8,,
constituency_result,Liberal Democrat,South West,St Austell and Newquay,,,,9921,71.9,,
constituency_result,Liberal Democrat,South West,St Ives,,,,7170,74.1,,
constituency_result,Labour,South West,Stroud,,,,2910,79.1,,
constituency_result,Liberal Democrat,South West,Taunton,,,,2443,76.9,,
constituency_result,Conservative,South West,Tewkesbury,,,,9234,79.0,,
constituency_result,Liberal Democrat,South West,Thornbury and Yate,,,,2800,77.5,,
constituency_result,Conservative,South West,Tiverton and Honiton,,,,10000,75.3,,
constituency_result,Liberal Democrat,South West,Torbay,,,,12,69.9,,
constituency_result,Liberal Democrat,South West,Torridge and West Devon,,,,1957,74.7,,
constituency_result,Liberal Democrat,South West,Truro and St Austell,,,,8065,74.2,,
constituency_result,Conservative,South West,Wells,,,,528,77.2,,
constituency_result,Liberal Democrat,South West,Weston-super-Mare,,,,1274,74.8,,
constituency_result,Conservative,South West,Wiltshire North,,,,7500,76.5,,
constituency_result,Liberal Democrat,South West,Yeovil,,,,11403,75.4,,
constituency_result,Conservative,East of England,Bedfordshire Mid,,,,11408,76.1,,
constituency_result,Conservative,East of England,Bedfordshire North East,,,,11756,75.5,,
constituency_result,Conservative,East of England,Bedfordshire South West,,,,7826,75.5,,
constituency_result,Labour,East of England,Braintree,,,,1451,75.2,,
constituency_result,Conservative,East of England,Brentwood and Ongar,,,,9690,73.3,,
constituency_result,Labour,East of England,Cambridge,,,,14333,65.6,,
constituency_result,Conservative,East of England,Cambridgeshire North East,,,,5101,74.2,,
constituency_result,Labour,East of England,Cambridgeshire North West,,,,2748,74.2,,
constituency_result,Conservative,East of England,Cambridgeshire South,,,,8712,79.5,,
constituency_result,Conservative,East of England,Castle Point,,,,1143,70.4,,
constituency_result,Conservative,East of England,Chelmsford West,,,,6951,76.1,,
constituency_result,Liberal Democrat,East of England,Colchester,,,,1581,70.9,,
constituency_result,Conservative,East of England,East Hertfordshire,,,,9605,77.5,,
constituency_result,Conservative,East of England,Epping Forest,,,,6604,72.5,,
constituency_result,Conservative,East of England,Essex North,,,,12393,75.8,,
constituency_result,Labour,East of England,Great Yarmouth,,,,8668,69.6,,
constituency_result,Labour,East of England,Harlow,,,,10514,74.3,,
constituency_result,Labour,East of England,Harwich,,,,1216,72.9,,
constituency_result,Labour,East of England,Hemel Hempstead,,,,3636,75.5,,
constituency_result,Conservative,East of England,Hertford and Stortford,,,,11093,77.1,,
constituency_result,Conservative,East of England,Hertfordshire North East,,,,3086,77.7,,
constituency_result,Conservative,East of England,Hertfordshire South West,,,,6885,79.5,,
constituency_result,Labour,East of England,Hertsmere,,,,1193,72.6,,
constituency_result,Conservative,East of England,Hitchin and Harpenden,,,,6671,79.6,,
constituency_result,Conservative,East of England,Huntingdon,,,,18140,74.6,,
constituency_result,Labour,East of England,Ipswich,,,,8081,70.0,,
constituency_result,Labour,East of England,Luton North,,,,9801,68.2,,
constituency_result,Labour,East of England,Luton South,,,,11319,67.9,,
constituency_result,Conservative,East of England,Mid Bedfordshire,,,,11756,75.0,,
constituency_result,Conservative,East of England,Norfolk Mid,,,,1885,73.7,,
constituency_result,Liberal Democrat,East of England,Norfolk North,,,,1293,72.2,,
constituency_result,Conservative,East of England,Norfolk North West,,,,1339,73.2,,
constituency_result,Conservative,East of England,Norfolk South,,,,6956,76.4,,
constituency_result,Conservative,East of England,Norfolk South West,,,,5419,73.7,,
constituency_result,Labour,East of England,Norwich North,,,,9470,69.4,,
constituency_result,Labour,East of England,Norwich South,,,,14239,67.1,,
constituency_result,Labour,East of England,Peterborough,,,,7323,68.7,,
constituency_result,Conservative,East of England,Rayleigh,,,,13279,74.4,,
constituency_result,Conservative,East of England,Rochford and Southend East,,,,4352,68.4,,
constituency_result,Conservative,East of England,Saffron Walden East,,,,10432,76.0,,
constituency_result,Conservative,East of England,South Bedfordshire,,,,3434,74.9,,
constituency_result,Conservative,East of England,South Cambridgeshire,,,,8900,79.0,,
constituency_result,Conservative,East of England,South Norfolk,,,,7500,75.0,,
constituency_result,Conservative,East of England,South Suffolk,,,,3800,73.5,,
constituency_result,Conservative,East of England,Southend West,,,,7493,70.6,,
constituency_result,Labour,East of England,St Albans,,,,4459,79.4,,
constituency_result,Labour,East of England,Stevenage,,,,11582,72.7,,
constituency_result,Conservative,East of England,Suffolk Coastal,,,,4326,74.6,,
constituency_result,Conservative,East of England,Suffolk Mid,,,,4175,75.6,,
constituency_result,Conservative,East of England,Suffolk South,,,,4175,74.6,,
constituency_result,Conservative,East of England,Suffolk West,,,,7893,73.0,,
constituency_result,Labour,East of England,Thurrock,,,,17256,71.5,,
constituency_result,Labour,East of England,Watford,,,,5792,73.1,,
constituency_result,Labour,East of England,Waveney,,,,4479,69.8,,
constituency_result,Labour,East of England,Welwyn Hatfield,,,,5595,73.3,,
constituency_result,Labour,East Midlands,Amber Valley,,,,11613,75.7,,
constituency_result,Labour,East Midlands,Ashfield,,,,22876,69.6,,
constituency_result,Labour,East Midlands,Bassetlaw,,,,17736,70.6,,
constituency_result,Conservative,East Midlands,Blaby,,,,6474,76.9,,
constituency_result,Labour,East Midlands,Bolsover,,,,27149,65.1,,
constituency_result,Conservative,East Midlands,Boston and Skegness,,,,647,68.4,,
constituency_result,Labour,East Midlands,Broxtowe,,,,5575,78.2,,
constituency_result,Conservative,East Midlands,Charnwood,,,,5900,76.9,,
constituency_result,Labour,East Midlands,Chesterfield,,,,22598,69.4,,
constituency_result,Labour,East Midlands,Corby,,,,11860,74.2,,
constituency_result,Conservative,East Midlands,Daventry,,,,13416,75.5,,
constituency_result,Labour,East Midlands,Derby North,,,,10615,71.9,,
constituency_result,Labour,East Midlands,Derby South,,,,16812,65.3,,
constituency_result,Labour,East Midlands,Derbyshire North East,,,,18321,74.3,,
constituency_result,Labour,East Midlands,Derbyshire South,,,,13967,76.4,,
constituency_result,Conservative,East Midlands,Derbyshire West,,,,4495,77.7,,
constituency_result,Labour,East Midlands,Erewash,,,,9735,77.3,,
constituency_result,Conservative,East Midlands,Gainsborough,,,,6826,70.5,,
constituency_result,Labour,East Midlands,Gedling,,,,3802,78.0,,
constituency_result,Conservative,East Midlands,Grantham and Stamford,,,,5498,74.0,,
constituency_result,Labour,East Midlands,High Peak,,,,4398,79.0,,
constituency_result,Labour,East Midlands,Kettering,,,,189,74.8,,
constituency_result,Labour,East Midlands,Leicester East,,,,18422,65.1,,
constituency_result,Labour,East Midlands,Leicester South,,,,16493,63.9,,
constituency_result,Labour,East Midlands,Leicester West,,,,12163,63.9,,
constituency_result,Labour,East Midlands,Leicestershire North West,,,,13218,75.3,,
constituency_result,Labour,East Midlands,Lincoln,,,,11130,71.5,,
constituency_result,Labour,East Midlands,Loughborough,,,,5712,77.2,,
constituency_result,Conservative,East Midlands,Louth and Horncastle,,,,10153,69.7,,
constituency_result,Labour,East Midlands,Mansfield,,,,20285,68.3,,
constituency_result,Conservative,East Midlands,Newark,,,,4354,76.1,,
constituency_result,Labour,East Midlands,Northampton North,,,,10000,68.5,,
constituency_result,Conservative,East Midlands,Northampton South,,,,744,71.0,,
constituency_result,Labour,East Midlands,Nottingham East,,,,15419,61.1,,
constituency_result,Labour,East Midlands,Nottingham North,,,,18801,63.6,,
constituency_result,Labour,East Midlands,Nottingham South,,,,13364,65.4,,
constituency_result,Conservative,East Midlands,Rushcliffe,,,,5055,79.2,,
constituency_result,Conservative,East Midlands,Rutland and Melton,,,,8836,76.2,,
constituency_result,Labour,East Midlands,Sherwood,,,,16112,75.3,,
constituency_result,Conservative,East Midlands,Sleaford and North Hykeham,,,,5123,74.6,,
constituency_result,Conservative,East Midlands,South Holland and The Deepings,,,,16857,67.5,,
constituency_result,Conservative,East Midlands,Wellingborough,,,,187,75.0,,
constituency_result,Labour,East Midlands,Worksop,,,,17129,70.4,,
constituency_result,Conservative,West Midlands,Aldridge-Brownhills,,,,2526,71.9,,
constituency_result,Labour,West Midlands,Birmingham Edgbaston,,,,4842,65.2,,
constituency_result,Labour,West Midlands,Birmingham Erdington,,,,12657,59.6,,
constituency_result,Labour,West Midlands,Birmingham Hall Green,,,,18957,59.5,,
constituency_result,Labour,West Midlands,Birmingham Hodge Hill,,,,21712,55.9,,
constituency_result,Labour,West Midlands,Birmingham Ladywood,,,,23082,50.2,,
constituency_result,Labour,West Midlands,Birmingham Northfield,,,,11443,64.3,,
constituency_result,Labour,West Midlands,Birmingham Perry Barr,,,,18957,58.2,,
constituency_result,Labour,West Midlands,Birmingham Selly Oak,,,,14857,64.3,,
constituency_result,Labour,West Midlands,Birmingham Sparkbrook and Small Heath,,,,19526,52.3,,
constituency_result,Labour,West Midlands,Birmingham Yardley,,,,5765,62.8,,
constituency_result,Conservative,West Midlands,Bromsgrove,,,,4895,77.2,,
constituency_result,Labour,West Midlands,Burton,,,,6330,72.3,,
constituency_result,Labour,West Midlands,Cannock Chase,,,,14478,71.8,,
constituency_result,Labour,West Midlands,Coventry North East,,,,21039,60.1,,
constituency_result,Labour,West Midlands,Coventry North West,,,,16038,64.0,,
constituency_result,Labour,West Midlands,Coventry South,,,,10953,65.0,,
constituency_result,Labour,West Midlands,Dudley North,,,,15118,64.1,,
constituency_result,Labour,West Midlands,Dudley South,,,,13843,65.8,,
constituency_result,Labour,West Midlands,Halesowen and Rowley Regis,,,,10337,69.4,,
constituency_result,Labour,West Midlands,Hereford,,,,2726,74.0,,
constituency_result,Conservative,West Midlands,Kenilworth,,,,15693,79.2,,
constituency_result,Conservative,West Midlands,Lichfield,,,,3768,76.8,,
constituency_result,Conservative,West Midlands,Meriden,,,,582,74.8,,
constituency_result,Conservative,West Midlands,Mid Worcestershire,,,,9038,77.2,,
constituency_result,Conservative,West Midlands,North Herefordshire,,,,5900,76.0,,
constituency_result,Labour,West Midlands,Nuneaton,,,,13540,72.6,,
constituency_result,Labour,West Midlands,Redditch,,,,6270,74.9,,
constituency_result,Conservative,West Midlands,Rugby and Kenilworth,,,,495,79.2,,
constituency_result,Labour,West Midlands,Shrewsbury and Atcham,,,,1670,77.4,,
constituency_result,Conservative,West Midlands,Shropshire North,,,,4773,76.0,,
constituency_result,Conservative,West Midlands,Solihull,,,,9519,77.5,,
constituency_result,Conservative,West Midlands,South Staffordshire,,,,4600,74.5,,
constituency_result,Labour,West Midlands,Stafford,,,,4314,77.9,,
constituency_result,Labour,West Midlands,Staffordshire Moorlands,,,,10048,74.7,,
constituency_result,Conservative,West Midlands,Staffordshire South,,,,4312,75.3,,
constituency_result,Labour,West Midlands,Stoke-on-Trent Central,,,,20339,55.4,,
constituency_result,Labour,West Midlands,Stoke-on-Trent North,,,,17392,58.4,,
constituency_result,Labour,West Midlands,Stoke-on-Trent South,,,,18303,57.7,,
constituency_result,Conservative,West Midlands,Stone,,,,3732,77.7,,
constituency_result,Conservative,West Midlands,Stratford-on-Avon,,,,14760,79.1,,
constituency_result,Conservative,West Midlands,Sutton Coldfield,,,,14885,73.7,,
constituency_result,Labour,West Midlands,Tamworth,,,,7496,74.5,,
constituency_result,Labour,West Midlands,Telford,,,,11290,67.1,,
constituency_result,Labour,West Midlands,The Wrekin,,,,3025,74.8,,
constituency_result,Labour,West Midlands,Walsall North,,,,12657,63.3,,
constituency_result,Labour,West Midlands,Walsall South,,,,15457,65.0,,
constituency_result,Labour,West Midlands,Warley,,,,15451,60.0,,
constituency_result,Labour,West Midlands,Warwick and Leamington,,,,3398,77.1,,
constituency_result,Labour,West Midlands,West Bromwich East,,,,13584,61.1,,
constituency_result,Speaker,West Midlands,West Bromwich West,,,,15423,58.7,,
constituency_result,Labour,West Midlands,Wolverhampton North East,,,,12987,61.9,,
constituency_result,Labour,West Midlands,Wolverhampton South East,,,,15423,57.5,,
constituency_result,Labour,West Midlands,Wolverhampton South West,,,,5118,65.4,,
constituency_result,Labour,West Midlands,Worcester,,,,7425,74.0,,
constituency_result,Conservative,West Midlands,Worcestershire West,,,,6700,77.0,,
constituency_result,Conservative,West Midlands,Wychavon,,,,7800,76.5,,
constituency_result,Labour,Yorkshire and the Humber,Barnsley Central,,,,26763,58.8,,
constituency_result,Labour,Yorkshire and the Humber,Barnsley East and Mexborough,,,,26763,58.8,,
constituency_result,Labour,Yorkshire and the Humber,Barnsley West and Penistone,,,,17267,64.4,,
constituency_result,Labour,Yorkshire and the Humber,Batley and Spen,,,,10891,68.5,,
constituency_result,Conservative,Yorkshire and the Humber,Beverley and Holderness,,,,11757,72.4,,
constituency_result,Conservative,Yorkshire and the Humber,Boothferry,,,,6200,70.0,,
constituency_result,Labour,Yorkshire and the Humber,Bradford North,,,,12770,58.1,,
constituency_result,Labour,Yorkshire and the Humber,Bradford South,,,,12936,60.2,,
constituency_result,Labour,Yorkshire and the Humber,Bradford West,,,,3301,61.2,,
constituency_result,Labour,Yorkshire and the Humber,Brigg and Goole,,,,6389,69.5,,
constituency_result,Labour,Yorkshire and the Humber,Calder Valley,,,,4878,73.7,,
constituency_result,Labour,Yorkshire and the Humber,Cleethorpes,,,,8453,68.6,,
constituency_result,Labour,Yorkshire and the Humber,Colne Valley,,,,4512,73.3,,
constituency_result,Labour,Yorkshire and the Humber,Dewsbury,,,,5765,72.5,,
constituency_result,Labour,Yorkshire and the Humber,Doncaster Central,,,,23368,57.2,,
constituency_result,Labour,Yorkshire and the Humber,Doncaster North,,,,22522,54.1,,
constituency_result,Labour,Yorkshire and the Humber,Don Valley,,,,14815,65.9,,
constituency_result,Conservative,Yorkshire and the Humber,East Yorkshire,,,,4517,72.1,,
constituency_result,Labour,Yorkshire and the Humber,Elmet,,,,8779,77.1,,
constituency_result,Labour,Yorkshire and the Humber,Glanford and Scunthorpe,,,,14101,65.5,,
constituency_result,Labour,Yorkshire and the Humber,Great Grimsby,,,,16244,60.2,,
constituency_result,Labour,Yorkshire and the Humber,Halifax,,,,7784,67.7,,
constituency_result,Conservative,Yorkshire and the Humber,Haltemprice and Howden,,,,7000,73.5,,
constituency_result,Liberal Democrat,Yorkshire and the Humber,Harrogate and Knaresborough,,,,6236,77.1,,
constituency_result,Labour,Yorkshire and the Humber,Hemsworth,,,,23126,61.0,,
constituency_result,Labour,Yorkshire and the Humber,Huddersfield,,,,15848,62.2,,
constituency_result,Labour,Yorkshire and the Humber,Hull East,,,,23318,57.1,,
constituency_result,Labour,Yorkshire and the Humber,Hull North,,,,16109,55.6,,
constituency_result,Labour,Yorkshire and the Humber,Hull West and Hessle,,,,15525,54.8,,
constituency_result,Labour,Yorkshire and the Humber,Keighley,,,,7132,73.2,,
constituency_result,Labour,Yorkshire and the Humber,Leeds Central,,,,20689,49.6,,
constituency_result,Labour,Yorkshire and the Humber,Leeds East,,,,17466,57.6,,
constituency_result,Labour,Yorkshire and the Humber,Leeds North East,,,,6959,67.1,,
constituency_result,Labour,Yorkshire and the Humber,Leeds North West,,,,3844,66.2,,
constituency_result,Labour,Yorkshire and the Humber,Leeds West,,,,19771,56.6,,
